baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_status,gene_id
58.04567616,1.120913058,0.382145848,2.933207473,0.003354796,0.019047419,Up-Regulated,ENSMUSG00000000028
941.3360126,2.056720162,0.492148306,4.179065819,2.93E-05,0.000414261,Up-Regulated,ENSMUSG00000000088
22.28137578,-1.736166425,0.438946639,-3.95530179,7.64E-05,0.00093115,Down-Regulated,ENSMUSG00000000126
168.3608206,1.226488532,0.43763169,2.802558773,0.005069898,0.025898128,Up-Regulated,ENSMUSG00000000142
268.2697106,3.891792329,0.552285224,7.046707313,1.83E-12,6.00E-10,Up-Regulated,ENSMUSG00000000154
210.986762,1.561927724,0.449513923,3.474703768,0.000511418,0.004493917,Up-Regulated,ENSMUSG00000000159
1882.977671,1.171506214,0.37255084,3.144553947,0.001663402,0.011198518,Up-Regulated,ENSMUSG00000000171
214.6988736,-1.793447901,0.588268132,-3.048691242,0.002298406,0.014228795,Down-Regulated,ENSMUSG00000000216
655.8793004,-1.117953295,0.391303794,-2.856995799,0.004276715,0.022936051,Down-Regulated,ENSMUSG00000000276
4257.695062,4.070402418,0.636286905,6.397118007,1.58E-10,1.19E-08,Up-Regulated,ENSMUSG00000000308
407.5100583,1.038867724,0.409883863,2.534541656,0.011259454,0.046537674,Up-Regulated,ENSMUSG00000000384
688.1195545,2.93585325,0.541746664,5.419236414,5.99E-08,1.87E-06,Up-Regulated,ENSMUSG00000000385
23.50204029,1.685268383,0.500177475,3.369340815,0.000753482,0.006069803,Up-Regulated,ENSMUSG00000000386
801.0127008,1.155538759,0.356302135,3.243142957,0.001182189,0.008617622,Up-Regulated,ENSMUSG00000000399
220.9634284,2.764482598,0.81385355,3.396781397,0.000681834,0.005616426,Up-Regulated,ENSMUSG00000000409
1173.145002,4.014718126,0.597607458,6.717985315,1.84E-11,2.44E-09,Up-Regulated,ENSMUSG00000000544
2429.065332,1.174412763,0.358293122,3.277798795,0.001046199,0.00782149,Up-Regulated,ENSMUSG00000000563
98.34310358,1.756781709,0.638093351,2.753173505,0.005902061,0.028964059,Up-Regulated,ENSMUSG00000000567
365.5248741,2.548435788,0.550747749,4.627228697,3.71E-06,6.99E-05,Up-Regulated,ENSMUSG00000000805
331.4622049,1.179551871,0.351837414,3.352548153,0.000800713,0.006362814,Up-Regulated,ENSMUSG00000000876
44.71401628,1.723894479,0.523443203,3.293374468,0.000989925,0.007502822,Up-Regulated,ENSMUSG00000000934
156.5198128,1.715607572,0.44577466,3.848598238,0.000118796,0.001359433,Up-Regulated,ENSMUSG00000000957
503.2507982,3.582466885,0.58564835,6.117095495,9.53E-10,4.88E-08,Up-Regulated,ENSMUSG00000000958
10.51361252,-1.857636682,0.721462183,-2.574821972,0.010029169,0.042794153,Down-Regulated,ENSMUSG00000000982
17.14787332,2.785953654,0.813891668,3.423003039,0.000619334,0.005220003,Up-Regulated,ENSMUSG00000000983
55.80469368,3.923954843,0.738027805,5.316811665,1.06E-07,3.04E-06,Up-Regulated,ENSMUSG00000001095
2552.419338,4.296690494,0.660851456,6.5017493,7.94E-11,6.98E-09,Up-Regulated,ENSMUSG00000001123
749.9547447,1.724734551,0.375078837,4.598325422,4.26E-06,7.91E-05,Up-Regulated,ENSMUSG00000001156
537.1201967,4.830887808,0.761676055,6.342444112,2.26E-10,1.54E-08,Up-Regulated,ENSMUSG00000001225
137.1214665,2.38664298,0.537614518,4.439320178,9.02E-06,0.000149104,Up-Regulated,ENSMUSG00000001228
1885.232695,2.157565489,0.465989385,4.630074328,3.66E-06,6.93E-05,Up-Regulated,ENSMUSG00000001270
285.345467,2.091563225,0.486639684,4.29797095,1.72E-05,0.000261902,Up-Regulated,ENSMUSG00000001300
95.40163441,1.073001585,0.330115548,3.250381844,0.001152501,0.008448949,Up-Regulated,ENSMUSG00000001313
504.7855769,2.663429776,0.503185868,5.293133107,1.20E-07,3.38E-06,Up-Regulated,ENSMUSG00000001348
160.0008866,2.533774707,0.551931682,4.590739739,4.42E-06,8.18E-05,Up-Regulated,ENSMUSG00000001403
124.4929397,2.721636693,0.559278069,4.866339021,1.14E-06,2.47E-05,Up-Regulated,ENSMUSG00000001420
115.1885185,1.506749559,0.485970817,3.100493912,0.001931982,0.012568435,Up-Regulated,ENSMUSG00000001517
20.00834822,1.089426699,0.429406991,2.537049282,0.011179122,0.04627977,Up-Regulated,ENSMUSG00000001555
126.4852683,1.625465723,0.572960534,2.836959313,0.004554542,0.0240389,Up-Regulated,ENSMUSG00000001604
557.2590705,1.280760969,0.339962768,3.767356576,0.000164985,0.001786341,Up-Regulated,ENSMUSG00000001663
232.642295,2.485555729,0.550045095,4.518821731,6.22E-06,0.000109909,Up-Regulated,ENSMUSG00000001665
1261.725867,4.635493237,0.659112699,7.032929644,2.02E-12,6.26E-10,Up-Regulated,ENSMUSG00000001739
54.17857589,1.863453593,0.730437687,2.551146561,0.010736916,0.045014806,Up-Regulated,ENSMUSG00000001943
124.3411625,1.038095658,0.346539299,2.995607316,0.002738989,0.016248187,Up-Regulated,ENSMUSG00000001983
142.4844561,2.629320955,0.78251789,3.360077753,0.000779205,0.006241302,Up-Regulated,ENSMUSG00000002033
134.952121,2.630417806,0.57513568,4.573560463,4.80E-06,8.80E-05,Up-Regulated,ENSMUSG00000002055
65.97351,1.052045119,0.210674631,4.993696277,5.92E-07,1.40E-05,Up-Regulated,ENSMUSG00000002068
247.5296173,1.319757354,0.356129267,3.705837958,0.000210693,0.002188486,Up-Regulated,ENSMUSG00000002108
1792.23424,-1.150700624,0.318230186,-3.615938005,0.000299262,0.002903179,Down-Regulated,ENSMUSG00000002221
387.7633189,2.002400977,0.443174479,4.518312929,6.23E-06,0.000109923,Up-Regulated,ENSMUSG00000002227
83.85076464,3.376750606,0.661957555,5.101158796,3.38E-07,8.43E-06,Up-Regulated,ENSMUSG00000002228
455.6454176,1.840327924,0.436036114,4.220586014,2.44E-05,0.00035325,Up-Regulated,ENSMUSG00000002233
86.71093832,2.004495662,0.58358412,3.434801584,0.000592988,0.005055744,Up-Regulated,ENSMUSG00000002249
192.5361964,1.247765565,0.461365204,2.704507307,0.006840577,0.032221675,Up-Regulated,ENSMUSG00000002289
92.04004826,1.524001156,0.42266189,3.60572172,0.000311287,0.003001027,Up-Regulated,ENSMUSG00000002297
1316.865608,2.52518132,0.470130159,5.371238731,7.82E-08,2.37E-06,Up-Regulated,ENSMUSG00000002332
408.2785088,1.756977696,0.458361325,3.833171782,0.000126502,0.001429652,Up-Regulated,ENSMUSG00000002475
202.2269276,4.165412605,0.661396016,6.297910031,3.02E-10,1.95E-08,Up-Regulated,ENSMUSG00000002565
114.8619625,-1.590720356,0.369913006,-4.300255274,1.71E-05,0.000259727,Down-Regulated,ENSMUSG00000002578
489.5791311,-1.671245826,0.536818925,-3.113239396,0.001850459,0.012134964,Down-Regulated,ENSMUSG00000002688
394.7531653,-1.094671749,0.297709672,-3.676977446,0.000236014,0.002397771,Down-Regulated,ENSMUSG00000002769
44.31092975,-3.017863223,0.53650688,-5.625022408,1.85E-08,6.59E-07,Down-Regulated,ENSMUSG00000002831
81.07330114,1.794425571,0.465863992,3.851822855,0.000117242,0.001343638,Up-Regulated,ENSMUSG00000002835
227.3572054,1.14527641,0.284244395,4.029196103,5.60E-05,0.00071675,Up-Regulated,ENSMUSG00000002870
93.28527468,-1.601750804,0.606501707,-2.640966689,0.008266985,0.037197828,Down-Regulated,ENSMUSG00000002930
2604.439858,4.356737846,0.633270015,6.879747572,6.00E-12,1.18E-09,Up-Regulated,ENSMUSG00000002992
412.6947501,1.772107874,0.430297309,4.118333617,3.82E-05,0.000516827,Up-Regulated,ENSMUSG00000003032
991.1871741,1.957809043,0.581876161,3.364649002,0.000766411,0.00615155,Up-Regulated,ENSMUSG00000003051
272.4982381,3.656578994,0.730251092,5.007290003,5.52E-07,1.32E-05,Up-Regulated,ENSMUSG00000003053
1886.982973,1.257980802,0.363456625,3.461157991,0.000537857,0.004673199,Up-Regulated,ENSMUSG00000003072
338.4200545,1.486424212,0.377314185,3.939486694,8.17E-05,0.00098772,Up-Regulated,ENSMUSG00000003123
1042.100156,1.460372841,0.390634638,3.738462234,0.000185149,0.001957702,Up-Regulated,ENSMUSG00000003161
35.01862547,1.40696866,0.471913203,2.981414061,0.002869206,0.016820867,Up-Regulated,ENSMUSG00000003190
260.92611,2.947781313,0.546825519,5.390716437,7.02E-08,2.15E-06,Up-Regulated,ENSMUSG00000003271
70.12928188,-1.22223864,0.403774252,-3.027034617,0.002469657,0.015027306,Down-Regulated,ENSMUSG00000003282
180.5604012,1.80809855,0.428773453,4.216908803,2.48E-05,0.000357718,Up-Regulated,ENSMUSG00000003283
786.9737232,1.133649648,0.333934411,3.394827279,0.000686719,0.00564656,Up-Regulated,ENSMUSG00000003346
339.961727,1.744759449,0.477944278,3.650549925,0.000261679,0.002608875,Up-Regulated,ENSMUSG00000003420
605.5941971,1.715131183,0.422494123,4.059538563,4.92E-05,0.000640282,Up-Regulated,ENSMUSG00000003546
535.1190567,4.773571209,0.635150462,7.515654157,5.66E-14,1.07E-10,Up-Regulated,ENSMUSG00000003585
804.3813997,1.911090046,0.423744538,4.510005143,6.48E-06,0.000114057,Up-Regulated,ENSMUSG00000003623
898.4816215,2.934956375,0.550981895,5.326774623,1.00E-07,2.92E-06,Up-Regulated,ENSMUSG00000003644
107.2338821,1.500106533,0.452662491,3.313962531,0.000919838,0.007085501,Up-Regulated,ENSMUSG00000003779
282.8029784,2.558126754,0.542907856,4.711898579,2.45E-06,4.86E-05,Up-Regulated,ENSMUSG00000003849
185.1520591,1.935566595,0.506744881,3.819607594,0.000133664,0.001495319,Up-Regulated,ENSMUSG00000004035
1767.749567,4.960932079,0.761204429,6.517213891,7.16E-11,6.47E-09,Up-Regulated,ENSMUSG00000004038
1121.501962,1.104834591,0.371788766,2.971672878,0.002961821,0.017246284,Up-Regulated,ENSMUSG00000004264
1490.350952,1.122046253,0.37922628,2.958777677,0.003088618,0.017850347,Up-Regulated,ENSMUSG00000004270
27.74164085,-2.956710078,0.461692407,-6.404069098,1.51E-10,1.14E-08,Down-Regulated,ENSMUSG00000004328
103.34164,1.059122973,0.345097733,3.069052249,0.00214739,0.013587268,Up-Regulated,ENSMUSG00000004446
1092.350928,1.017267252,0.318796584,3.190960332,0.001418007,0.009907495,Up-Regulated,ENSMUSG00000004530
209.6170539,4.898251969,0.844010615,5.803543088,6.49E-09,2.62E-07,Up-Regulated,ENSMUSG00000004552
124.9917162,1.389259052,0.435505682,3.18999065,0.001422774,0.009927359,Up-Regulated,ENSMUSG00000004558
54.14098833,2.42618354,0.789101284,3.074616134,0.002107736,0.013413104,Up-Regulated,ENSMUSG00000004612
119.9169155,3.078119419,0.569185549,5.4079367,6.38E-08,1.98E-06,Up-Regulated,ENSMUSG00000004633
253.3257779,1.118696679,0.295649752,3.783858001,0.000154416,0.001692018,Up-Regulated,ENSMUSG00000004642
18.61418398,1.57941876,0.54495015,2.898281171,0.00375214,0.020740589,Up-Regulated,ENSMUSG00000004709
145.9613815,1.305178828,0.334191228,3.905484994,9.40E-05,0.001109732,Up-Regulated,ENSMUSG00000004748
1848.121893,1.315639071,0.375206996,3.506435337,0.000454152,0.004059834,Up-Regulated,ENSMUSG00000004789
359.9084366,1.067148849,0.33685175,3.168007437,0.001534876,0.010513941,Up-Regulated,ENSMUSG00000004815
278.1461544,-1.255333815,0.335857803,-3.73769436,0.000185716,0.001957702,Down-Regulated,ENSMUSG00000004821
486.6488394,3.067863098,0.617364319,4.969291231,6.72E-07,1.56E-05,Up-Regulated,ENSMUSG00000004864
41.66672844,1.967890982,0.50784859,3.874956078,0.000106644,0.001233135,Up-Regulated,ENSMUSG00000004933
241.3754803,-1.510211774,0.325987402,-4.632730483,3.61E-06,6.85E-05,Down-Regulated,ENSMUSG00000004951
86.47500707,1.189346143,0.392929245,3.02687102,0.002470994,0.015027306,Up-Regulated,ENSMUSG00000004952
555.0117318,-1.322011109,0.508362659,-2.600527566,0.009308054,0.040504947,Down-Regulated,ENSMUSG00000005045
10.67379668,3.088332236,0.817979094,3.775563776,0.000159646,0.001738257,Up-Regulated,ENSMUSG00000005089
331.9838968,-1.124608977,0.206689912,-5.441044349,5.30E-08,1.68E-06,Down-Regulated,ENSMUSG00000005102
94.9951014,2.578222105,0.495471095,5.203577229,1.95E-07,5.17E-06,Up-Regulated,ENSMUSG00000005107
1011.17805,1.975891925,0.538120373,3.671840029,0.00024081,0.002436907,Up-Regulated,ENSMUSG00000005148
268.4430532,1.031741182,0.310028041,3.327896337,0.000875044,0.006825345,Up-Regulated,ENSMUSG00000005225
2828.013386,-1.454266639,0.550642599,-2.641035478,0.008265306,0.037197828,Down-Regulated,ENSMUSG00000005233
1035.566018,1.204869971,0.37121004,3.245790365,0.001171251,0.008549963,Up-Regulated,ENSMUSG00000005299
100.5420656,1.915112425,0.632975525,3.02557105,0.002481641,0.015073851,Up-Regulated,ENSMUSG00000005360
213.2776239,2.029579698,0.430925727,4.709813245,2.48E-06,4.88E-05,Up-Regulated,ENSMUSG00000005410
185.7079975,1.103727752,0.308059042,3.582844844,0.000339872,0.003232338,Up-Regulated,ENSMUSG00000005447
63.98008899,1.652180997,0.470292768,3.513090373,0.000442927,0.003989009,Up-Regulated,ENSMUSG00000005470
311.4573648,1.590142954,0.371465414,4.280729493,1.86E-05,0.000280291,Up-Regulated,ENSMUSG00000005481
1104.0618,-1.259658462,0.257625517,-4.889494169,1.01E-06,2.25E-05,Down-Regulated,ENSMUSG00000005667
189.2552396,5.15397938,0.880945083,5.850511548,4.90E-09,2.03E-07,Up-Regulated,ENSMUSG00000005677
33.03920946,1.307195941,0.436175146,2.996951923,0.002726937,0.016196535,Up-Regulated,ENSMUSG00000005681
2862.012355,2.080691179,0.461582628,4.507732858,6.55E-06,0.000114893,Up-Regulated,ENSMUSG00000005683
96.72656634,2.721364915,0.94425116,2.882035026,0.003951158,0.021616884,Up-Regulated,ENSMUSG00000005763
348.3636559,1.965981366,0.457656227,4.295760112,1.74E-05,0.000264008,Up-Regulated,ENSMUSG00000005836
58.39880953,3.079143472,0.612615214,5.02622756,5.00E-07,1.21E-05,Up-Regulated,ENSMUSG00000005947
33.75012639,2.632497103,0.722533479,3.643425779,0.000269033,0.002670155,Up-Regulated,ENSMUSG00000005958
231.3204694,4.846723224,0.844834575,5.736890237,9.64E-09,3.71E-07,Up-Regulated,ENSMUSG00000005980
1636.927246,1.13394094,0.356708261,3.178902942,0.001478336,0.0102229,Up-Regulated,ENSMUSG00000006057
155.5373494,-1.120150404,0.44031023,-2.544002681,0.010959024,0.045700653,Down-Regulated,ENSMUSG00000006204
303.5863832,3.390394208,0.599544504,5.654950028,1.56E-08,5.67E-07,Up-Regulated,ENSMUSG00000006219
720.5151848,1.315172996,0.406152024,3.238129858,0.00120316,0.008731106,Up-Regulated,ENSMUSG00000006281
2292.684691,1.267602139,0.493753193,2.567278868,0.010250014,0.043467809,Up-Regulated,ENSMUSG00000006345
1728.792823,2.67013837,0.475975453,5.609823686,2.03E-08,7.11E-07,Up-Regulated,ENSMUSG00000006360
363.579486,3.860999564,0.564125808,6.844217204,7.69E-12,1.35E-09,Up-Regulated,ENSMUSG00000006369
134.3513639,2.270041253,0.565660504,4.013080702,5.99E-05,0.000759966,Up-Regulated,ENSMUSG00000006398
133.9328013,1.531588106,0.414031439,3.699207259,0.000216274,0.00223536,Up-Regulated,ENSMUSG00000006445
105.7953734,4.676697265,0.744302916,6.283325195,3.31E-10,2.07E-08,Up-Regulated,ENSMUSG00000006538
162.3396699,3.636629988,0.614569464,5.917361994,3.27E-09,1.44E-07,Up-Regulated,ENSMUSG00000006567
103.7461659,2.086599906,0.516485382,4.03999799,5.35E-05,0.000688974,Up-Regulated,ENSMUSG00000006585
469.0224268,2.158845697,0.468570143,4.607305285,4.08E-06,7.62E-05,Up-Regulated,ENSMUSG00000006589
17.36851866,2.165604238,0.695589987,3.113334407,0.001849863,0.012134964,Up-Regulated,ENSMUSG00000006638
126.0320972,-1.274849305,0.363534922,-3.506813868,0.000453506,0.00405875,Down-Regulated,ENSMUSG00000006649
74.3051459,2.14033095,0.469291185,4.560773821,5.10E-06,9.25E-05,Up-Regulated,ENSMUSG00000006715
1651.978198,1.529246834,0.542092563,2.821006851,0.004787318,0.02487317,Up-Regulated,ENSMUSG00000006731
45.22355221,1.509276888,0.493052195,3.061089479,0.002205332,0.013845828,Up-Regulated,ENSMUSG00000006777
325.5881422,2.082761006,0.46328651,4.495621954,6.94E-06,0.000120135,Up-Regulated,ENSMUSG00000006800
178.0725208,3.372643981,0.636330245,5.30014722,1.16E-07,3.27E-06,Up-Regulated,ENSMUSG00000007034
64.74546822,1.630224911,0.479276196,3.401430997,0.00067034,0.005541314,Up-Regulated,ENSMUSG00000007080
443.511671,2.232620032,0.494105775,4.51850625,6.23E-06,0.000109923,Up-Regulated,ENSMUSG00000007833
218.9197111,1.905011242,0.427063581,4.460720429,8.17E-06,0.000137995,Up-Regulated,ENSMUSG00000007872
54.84337189,3.415095652,0.576130613,5.927641361,3.07E-09,1.37E-07,Up-Regulated,ENSMUSG00000008136
156.0025471,1.014847394,0.265053193,3.828844246,0.000128746,0.001447626,Up-Regulated,ENSMUSG00000008167
170.4075745,1.052553093,0.347649951,3.027623302,0.002464851,0.015013097,Up-Regulated,ENSMUSG00000008435
803.7673004,3.855568745,0.6249125,6.169773757,6.84E-10,3.75E-08,Up-Regulated,ENSMUSG00000008540
184.3571106,1.33399342,0.422471101,3.157596852,0.001590754,0.010807214,Up-Regulated,ENSMUSG00000008575
176.6165441,-2.461456858,0.5989727,-4.109464184,3.97E-05,0.000534568,Down-Regulated,ENSMUSG00000008845
221.8888861,2.91411216,0.595633177,4.892461116,9.96E-07,2.22E-05,Up-Regulated,ENSMUSG00000009145
342.4987519,1.393451322,0.312390783,4.460603188,8.17E-06,0.000137995,Up-Regulated,ENSMUSG00000009621
23.54258842,2.163592333,0.624794927,3.462883965,0.000534419,0.004651156,Up-Regulated,ENSMUSG00000009633
121.6402831,4.909348019,0.795459242,6.171715354,6.76E-10,3.74E-08,Up-Regulated,ENSMUSG00000009646
608.3341349,2.539964031,0.525195219,4.836228393,1.32E-06,2.81E-05,Up-Regulated,ENSMUSG00000009647
1450.712241,1.502961193,0.417550564,3.599471113,0.000318865,0.003068358,Up-Regulated,ENSMUSG00000009863
1464.903079,1.049715671,0.328986573,3.190755363,0.001419014,0.009907942,Up-Regulated,ENSMUSG00000010025
84.32473678,3.90228768,0.583055038,6.69282902,2.19E-11,2.76E-09,Up-Regulated,ENSMUSG00000010122
314.6429671,1.193266164,0.390333523,3.057042486,0.002235326,0.013978108,Up-Regulated,ENSMUSG00000010307
